team,week_num,avg_temp
ARI,1,70.0
ARI,2,70.0
ARI,3,70.0
ARI,4,70.0
ARI,5,70.0
ARI,6,70.0
ARI,35,70.0
ARI,36,70.0
ARI,37,70.0
ARI,38,70.0
ARI,39,70.0
ARI,40,70.0
ARI,41,70.0
ARI,42,70.0
ARI,43,70.0
ARI,44,70.0
ARI,45,70.0
ARI,46,70.0
ARI,47,70.0
ARI,48,70.0
ARI,49,70.0
ARI,50,70.0
ARI,51,70.0
ARI,52,70.0
ARI,53,70.0
ATL,1,70.0
ATL,2,70.0
ATL,3,70.0
ATL,4,70.0
ATL,5,70.0
ATL,6,70.0
ATL,35,70.0
ATL,36,70.0
ATL,37,70.0
ATL,38,70.0
ATL,39,70.0
ATL,40,70.0
ATL,41,70.0
ATL,42,70.0
ATL,43,70.0
ATL,44,70.0
ATL,45,70.0
ATL,46,70.0
ATL,47,70.0
ATL,48,70.0
ATL,49,70.0
ATL,50,70.0
ATL,51,70.0
ATL,52,70.0
ATL,53,70.0
BAL,1,40.22461538461539
BAL,2,36.368
BAL,3,33.40914285714286
BAL,4,35.38914285714285
BAL,5,36.62685714285714
BAL,6,39.45
BAL,35,74.0381818181818
BAL,36,74.86273684210528
BAL,37,72.44306122448981
BAL,38,69.9741935483871
BAL,39,65.3632967032967
BAL,40,64.99538461538461
BAL,41,61.31061224489797
BAL,42,56.942857142857136
BAL,43,59.330309278350526
BAL,44,54.06285714285715
BAL,45,56.077755102040825
BAL,46,49.34612244897959
BAL,47,44.65877551020407
BAL,48,43.78632653061225
BAL,49,42.28387755102042
BAL,50,41.956842105263156
BAL,51,39.46448979591837
BAL,52,40.16061224489796
BAL,53,46.892631578947366
BUF,1,31.502857142857145
BUF,2,28.807647058823527
BUF,3,24.80524271844661
BUF,4,26.483636363636364
BUF,5,25.839411764705893
BUF,6,29.779999999999998
BUF,35,67.69142857142857
BUF,36,67.95959183673469
BUF,37,65.68755102040818
BUF,38,64.53153846153847
BUF,39,62.365825242718444
BUF,40,60.474545454545456
BUF,41,56.601818181818174
BUF,42,51.459799999999994
BUF,43,53.42873786407767
BUF,44,47.74914285714286
BUF,45,51.869902912621356
BUF,46,42.83428571428572
BUF,47,39.57572815533981
BUF,48,38.14942307692308
BUF,49,36.099411764705884
BUF,50,37.1958762886598
BUF,51,32.1550495049505
BUF,52,35.8358
BUF,53,38.66
CAR,1,45.65942857142858
CAR,2,40.76342857142857
CAR,3,39.882285714285715
CAR,4,42.44171428571428
CAR,5,45.02685714285714
CAR,6,48.788000000000004
CAR,35,74.81652173913044
CAR,36,74.8557281553398
CAR,37,72.72457142857142
CAR,38,69.56342857142856
CAR,39,67.51657142857144
CAR,40,66.81885714285714
CAR,41,64.4276923076923
CAR,42,57.896
CAR,43,61.33142857142858
CAR,44,57.43192307692308
CAR,45,60.60285714285715
CAR,46,53.584117647058825
CAR,47,48.337142857142865
CAR,48,48.43485714285715
CAR,49,47.03257142857143
CAR,50,46.539411764705875
CAR,51,43.97428571428571
CAR,52,45.74342857142857
CAR,53,49.760000000000005
CHI,1,29.071142857142853
CHI,2,28.56457142857143
CHI,3,23.223714285714287
CHI,4,26.095999999999997
CHI,5,28.939999999999998
CHI,6,28.466
CHI,35,74.10875000000001
CHI,36,71.39942857142859
CHI,37,69.47085714285714
CHI,38,69.422
CHI,39,65.06857142857143
CHI,40,63.250571428571426
CHI,41,60.157142857142844
CHI,42,52.16771428571429
CHI,43,54.56685714285715
CHI,44,49.49085714285714
CHI,45,54.98857142857143
CHI,46,42.386
CHI,47,40.99742857142857
CHI,48,35.990857142857145
CHI,49,35.17571428571429
CHI,50,37.30228571428571
CHI,51,31.627142857142854
CHI,52,35.36599999999999
CHI,53,34.23714285714286
CIN,1,35.57257142857143
CIN,2,31.506285714285713
CIN,3,28.535428571428575
CIN,4,31.825142857142858
CIN,5,34.16514285714286
CIN,6,37.092
CIN,35,72.79739130434783
CIN,36,71.37980582524271
CIN,37,69.49884615384616
CIN,38,67.86285714285715
CIN,39,64.23542857142857
CIN,40,62.40457142857142
CIN,41,60.68342857142857
CIN,42,52.49428571428571
CIN,43,56.51942857142858
CIN,44,50.831428571428575
CIN,45,56.083999999999996
CIN,46,44.68228571428572
CIN,47,42.18285714285714
CIN,48,40.670857142857145
CIN,49,38.26571428571429
CIN,50,41.68257425742574
CIN,51,35.370285714285714
CIN,52,41.00857142857142
CIN,53,44.16285714285715
CLE,1,33.50857142857143
CLE,2,30.625142857142862
CLE,3,26.701142857142855
CLE,4,28.079428571428572
CLE,5,29.192
CLE,6,31.962000000000003
CLE,35,71.08347826086955
CLE,36,70.27009708737864
CLE,37,68.06990291262137
CLE,38,66.84628571428571
CLE,39,63.74514285714285
CLE,40,61.322857142857146
CLE,41,59.21257142857142
CLE,42,52.593714285714285
CLE,43,56.16971428571429
CLE,44,50.552
CLE,45,55.71542857142857
CLE,46,44.08057142857143
CLE,47,41.421714285714295
CLE,48,39.28742857142856
CLE,49,37.711999999999996
CLE,50,39.74712871287129
CLE,51,34.30914285714286
CLE,52,38.45257142857143
CLE,53,40.88
DAL,1,70.0
DAL,2,70.0
DAL,3,70.0
DAL,4,70.0
DAL,5,70.0
DAL,6,70.0
DAL,35,70.0
DAL,36,70.0
DAL,37,70.0
DAL,38,70.0
DAL,39,70.0
DAL,40,70.0
DAL,41,70.0
DAL,42,70.0
DAL,43,70.0
DAL,44,70.0
DAL,45,70.0
DAL,46,70.0
DAL,47,70.0
DAL,48,70.0
DAL,49,70.0
DAL,50,70.0
DAL,51,70.0
