game_id,season,week,temp,wind,calendar_week,focus_team,focus_score,focus_temp_delta,avg_temp,attempts,carries,passing_epa,rushing_epa,conventional_plays_ran,pass_to_run_ratio
2015_01_PIT_NE,2015,1,65.0,7.0,37,NE,28,-1.093469387755107,66.0934693877551,32,24,15.96135086074355,-0.2526274503907189,56,1.3333333333333333
2015_01_IND_BUF,2015,1,56.0,15.0,37,BUF,27,-9.68755102040818,65.68755102040818,19,36,9.972637575374753,-2.5390121189262738,55,0.5277777777777778
2015_01_GB_CHI,2015,1,72.0,11.0,37,CHI,23,2.5291428571428582,69.47085714285714,36,33,0.22927315271898463,7.547915141174468,69,1.0909090909090908
2015_01_KC_HOU,2015,1,70.0,0.0,37,HOU,20,0.0,70.0,47,21,-6.46961126988682,-4.144401136378292,68,2.238095238095238
2015_01_CAR_JAX,2015,1,77.0,7.0,37,JAX,9,-2.509999999999991,79.50999999999999,40,21,-15.522407353395026,-0.8967868640320376,61,1.9047619047619047
2015_01_CLE_NYJ,2015,1,77.0,8.0,37,NYJ,31,5.856923076923081,71.14307692307692,24,36,10.326020823814726,-5.622557043185225,60,0.6666666666666666
2015_01_SEA_STL,2015,1,70.0,0.0,37,STL,34,,,27,26,6.434030275578155,-12.546481942816172,53,1.0384615384615385
2015_01_MIA_WAS,2015,1,69.0,10.0,37,WAS,10,-2.7560000000000002,71.756,31,37,0.7191140250943135,-4.407086704843275,68,0.8378378378378378
2015_01_NO_ARI,2015,1,70.0,0.0,37,ARI,31,0.0,70.0,32,25,16.25063800056821,-8.709701570420293,57,1.28
2015_01_DET_SD,2015,1,84.0,10.0,37,SD,33,,,41,31,12.408935663109773,-7.327037900889991,72,1.3225806451612903
2015_01_BAL_DEN,2015,1,88.0,13.0,37,DEN,19,22.434455445544558,65.56554455445544,40,25,-12.047624071516514,-4.8291485703666694,65,1.6
2015_01_CIN_OAK,2015,1,73.0,9.0,37,OAK,13,,,43,16,-3.6999595685191453,-7.3121764841198456,59,2.6875
2015_01_TEN_TB,2015,1,84.0,8.0,37,TB,14,3.4497142857142933,80.5502857142857,33,26,-10.180914435681188,-8.117986739147455,59,1.2692307692307692
2015_01_NYG_DAL,2015,1,70.0,0.0,37,DAL,27,0.0,70.0,45,23,9.175033079613025,-2.4281808514497243,68,1.9565217391304348
2015_01_PHI_ATL,2015,1,70.0,0.0,37,ATL,26,0.0,70.0,34,35,1.3143354428949725,-8.790971271952138,69,0.9714285714285714
2015_01_MIN_SF,2015,1,70.0,5.0,37,SF,20,3.517142857142858,66.48285714285714,26,39,1.052889682714985,9.345340427709743,65,0.6666666666666666
2015_02_DEN_KC,2015,2,87.0,13.0,38,KC,24,20.06941176470589,66.93058823529411,25,28,-9.369124434523261,-1.7445058309240267,53,0.8928571428571429
2015_02_NE_BUF,2015,2,62.0,7.0,38,BUF,32,-2.5315384615384744,64.53153846153847,30,27,-7.1074790007986595,7.438141526174266,57,1.1111111111111112
2015_02_HOU_CAR,2015,2,88.0,6.0,38,CAR,24,18.43657142857144,69.56342857142856,37,33,-7.353691551680949,2.7947428779296257,70,1.121212121212121
2015_02_ARI_CHI,2015,2,70.0,6.0,38,CHI,23,0.578000000000003,69.422,32,28,-9.078746899414194,-4.265366621113262,60,1.1428571428571428
2015_02_SD_CIN,2015,2,69.0,6.0,38,CIN,24,1.1371428571428481,67.86285714285715,26,36,10.006286436377854,-10.308126772928517,62,0.7222222222222222
2015_02_TEN_CLE,2015,2,64.0,12.0,38,CLE,28,-2.846285714285713,66.84628571428571,15,30,3.7863535750075243,-2.751467613794375,45,0.5
2015_02_DET_MIN,2015,2,67.0,0.0,38,MIN,26,-3.0,70.0,18,42,6.545320958691345,-2.933979985245969,60,0.42857142857142855
2015_02_TB_NO,2015,2,70.0,0.0,38,NO,19,0.0,70.0,38,27,-2.07852828549448,2.1567051957244985,65,1.4074074074074074
2015_02_ATL_NYG,2015,2,73.0,9.0,38,NYG,20,5.243428571428566,67.75657142857143,40,23,9.78011124272598,-5.017808377393521,63,1.7391304347826086
2015_02_SF_PIT,2015,2,66.0,10.0,38,PIT,43,1.7285714285714278,64.27142857142857,27,25,25.572848315583776,2.119591063616099,52,1.08
2015_02_STL_WAS,2015,2,72.0,9.0,38,WAS,24,3.72563106796116,68.27436893203884,27,37,4.844197231655542,-1.7561201574862935,64,0.7297297297297297
2015_02_MIA_JAX,2015,2,87.0,5.0,38,JAX,23,8.939780219780218,78.06021978021978,33,33,7.3677742289064225,-4.898816832486767,66,1.0
2015_02_BAL_OAK,2015,2,80.0,8.0,38,OAK,37,,,46,19,13.31552331875027,2.246035723015666,65,2.4210526315789473
2015_02_DAL_PHI,2015,2,77.0,15.0,38,PHI,10,10.109142857142857,66.89085714285714,37,17,-8.037644032594262,-12.140095333597856,54,2.176470588235294
2015_02_SEA_GB,2015,2,62.0,9.0,38,GB,27,-0.834857142857139,62.83485714285714,33,29,10.530863271637502,-2.0150589043520855,62,1.1379310344827587
2015_02_NYJ_IND,2015,2,70.0,0.0,38,IND,7,0.0,70.0,37,24,-4.266185156956861,-8.580989226058591,61,1.5416666666666667
2015_03_WAS_NYG,2015,3,71.0,4.0,39,NYG,32,6.462857142857132,64.53714285714287,32,31,16.943784779415672,-6.03214994262089,63,1.032258064516129
2015_03_CIN_BAL,2015,3,70.0,12.0,39,BAL,24,4.636703296703303,65.3632967032967,49,18,6.436054143817794,-5.490774463280104,67,2.7222222222222223
2015_03_NO_CAR,2015,3,69.0,9.0,39,CAR,27,1.4834285714285613,67.51657142857144,31,30,13.649520088727858,4.147876983915921,61,1.0333333333333334
2015_03_OAK_CLE,2015,3,75.0,16.0,39,CLE,20,11.254857142857148,63.74514285714285,49,14,9.331796917843509,-4.82442119368352,63,3.5
